PEÇAS;Descrição;Etiqueta;Etiqueta1;QUANTIDADE TOTAL;Origen1;Familia;POSIÇÃO;supplierlabel;REFERENCEDATE;Expirationdate;Backlog
030123;CAPA DO MANCAL (BRUTA);M-341217;M-341218;114;FAGOR EDERLAN BRASILEIRA AUTO;COMPONENTES COMPRADOS;RECEBIMENTO;;02/06/2026;;6
030123;CAPA DO MANCAL (BRUTA);M-341219;M-341220;114;FAGOR EDERLAN BRASILEIRA AUTO;COMPONENTES COMPRADOS;RECEBIMENTO;;02/06/2026;;6
091153;PLANETARIO DO DIFERENCIAL LE (ACABADO);M-345006;M-345006;10;CUMMINS;PRODUTO SEMIACABADO;RECE_PS_FAB1;;05/06/2026;;3
098422;ROLAMENTO-CAPA;M-347216;M-347231;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347226;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347221;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347248;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347245;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347230;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347257;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347253;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347249;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347238;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347219;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347285;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347234;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347256;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347217;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347255;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347247;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347223;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347289;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347270;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347233;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347268;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347292;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347222;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347295;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347252;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347273;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347218;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347284;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347263;M-347298;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
098422;ROLAMENTO-CAPA;M-347216;M-347254;12;THE TIMKEN CORP;COMPONENTES COMPRADOS;RECEBIMENTO;;06/06/2026;;2
